PID,Q8,Q9,Q12,Q13,Q14,Q23,Q24,Q25,Raw Score,Transformed Scores
1,4,5,3,4,4,5,5,5,35,84.375
2,4,4,3,4,4,4,4,5,32,75.0
3,2,4,3,4,4,4,4,4,29,65.625
4,3,4,3,4,4,4,5,5,32,75.0
5,3,4,1,4,2,4,4,4,26,56.25
6,4,4,3,4,5,5,4,4,33,78.125
7,4,5,3,4,4,5,3,5,33,78.125
8,3,3,3,5,5,4,5,5,33,78.125
9,3,3,2,2,3,1,4,5,23,46.875
10,4,4,3,4,4,5,4,3,31,71.875
11,4,1,1,5,5,5,5,5,31,71.875
12,4,2,2,4,2,5,4,5,28,62.5
13,2,4,2,4,5,4,4,5,30,68.75
14,3,4,3,4,2,4,5,5,30,68.75
15,3,4,3,4,5,4,4,5,32,75.0
16,4,4,3,4,5,4,4,3,31,71.875
17,2,5,2,4,3,5,4,5,30,68.75
18,2,4,2,4,4,5,4,5,30,68.75
19,3,3,3,3,4,3,4,5,28,62.5
20,3,3,3,5,3,4,4,5,30,68.75
21,4,5,1,4,3,5,4,5,31,71.875
22,4,4,3,5,4,4,4,5,33,78.125
23,3,4,2,4,4,4,5,5,31,71.875
24,4,4,3,5,3,4,4,5,32,75.0
25,4,4,3,3,4,3,4,5,30,68.75
26,2,4,3,4,4,4,5,5,31,71.875
27,3,3,3,4,5,5,4,5,32,75.0
28,4,5,3,5,2,5,5,5,34,81.25
29,3,4,3,4,2,4,4,4,28,62.5
30,4,4,3,4,3,4,3,4,29,65.625
31,2,4,3,4,5,4,5,4,31,71.875
32,2,4,3,4,4,4,4,5,30,68.75
33,3,4,3,5,4,5,4,5,33,78.125
34,3,5,1,3,3,2,4,5,26,56.25
35,2,4,3,5,4,4,4,4,30,68.75
36,3,4,3,3,4,4,4,3,28,62.5
37,4,5,3,5,4,5,4,4,34,81.25
38,4,5,3,5,5,4,5,5,36,87.5
39,4,4,4,5,4,5,5,5,36,87.5
40,5,3,1,5,5,4,5,5,33,78.125
41,3,5,3,5,5,5,5,2,33,78.125
42,4,4,3,5,3,4,5,4,32,75.0
43,5,3,3,5,5,5,5,5,36,87.5
44,3,2,3,2,3,2,2,2,19,34.375
45,3,4,2,4,4,4,4,5,30,68.75
46,4,4,3,4,5,1,4,5,30,68.75
47,4,5,2,5,2,4,4,4,30,68.75
48,4,5,3,4,5,4,4,5,34,81.25
49,4,5,3,5,5,4,5,5,36,87.5
50,3,5,1,5,2,4,3,4,27,59.375
51,3,4,3,4,5,5,3,4,31,71.875
52,3,4,3,4,4,3,4,5,30,68.75
53,3,4,4,4,4,4,3,4,30,68.75
54,2,3,1,3,4,3,5,5,26,56.25
55,3,5,3,3,4,3,4,2,27,59.375
56,2,4,3,5,4,5,5,5,33,78.125
57,2,4,3,5,5,4,4,2,29,65.625
58,3,4,2,5,5,5,5,3,32,75.0
59,4,4,3,5,4,4,5,5,34,81.25
60,3,5,1,5,4,3,5,5,31,71.875
61,3,4,3,4,3,4,4,5,30,68.75
62,2,5,3,5,2,5,5,5,32,75.0
64,3,4,3,5,2,5,5,5,32,75.0
65,4,5,3,5,3,5,5,5,35,84.375
66,4,4,3,4,3,3,4,5,30,68.75
67,3,4,2,4,3,4,3,3,26,56.25
68,3,3,1,4,4,3,4,5,27,59.375
69,4,4,4,4,5,4,5,5,35,84.375
70,3,4,3,5,3,5,4,4,31,71.875
71,4,4,3,4,4,4,5,5,33,78.125
72,4,4,3,4,4,4,4,5,32,75.0
73,4,4,3,4,5,4,5,5,34,81.25
74,1,4,3,4,4,4,3,4,27,59.375
75,4,4,3,4,5,4,4,5,33,78.125
76,2,4,3,3,3,4,3,4,26,56.25
77,2,5,3,2,2,1,4,5,24,50.0
78,3,4,3,5,4,4,5,5,33,78.125
79,2,4,3,5,5,2,2,4,27,59.375
80,2,5,4,5,5,5,5,5,36,87.5
81,3,2,3,4,4,3,4,4,27,59.375
82,4,4,3,4,4,4,5,5,33,78.125
83,3,4,3,4,4,5,2,3,28,62.5
84,3,4,3,2,5,3,2,4,26,56.25
85,4,4,2,4,4,5,4,4,31,71.875
86,2,4,3,4,4,4,4,4,29,65.625
87,4,4,3,3,4,4,2,4,28,62.5
